Confirmed,Date,Type,Label,Address,Amount (DASH),ID
TRUE,2015-07-09T21:58:59,Sent to,,Xj2oKadT5LkMCCo8ZAeGJLYnUHNAX22cGw,-300,67551335eeeddc9952e08ac015631ff2ad977d523dbb0a42ebbc00bfc670c590-001
TRUE,2015-07-09T21:58:59,Sent to,,XjcesSomsTp2NY3rkX4cSc8mfWNHwa6UPz,-700,67551335eeeddc9952e08ac015631ff2ad977d523dbb0a42ebbc00bfc670c590-000
TRUE,2015-07-09T06:01:22,Sent to,,XjcesSomsTp2NY3rkX4cSc8mfWNHwa6UPz,-39,86f27be7b2018a7049945e46a9eede8f9c534d1f641f9f0ad840c8a1f600a42c-001
TRUE,2015-07-09T06:01:22,Sent to,,XqX613fDcrBdkomvN2DSq94w9Usn7G7cZ8,-1.07526027,86f27be7b2018a7049945e46a9eede8f9c534d1f641f9f0ad840c8a1f600a42c-000
TRUE,2015-07-08T17:39:14,Payment to yourself,,,0,16a47c265fd26d45e383897943e09232e0f55dec14fca11707f0a7fd660b4503-000
TRUE,2015-07-08T02:27:08,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.52861889,bb7bc1c6bd5c6c7c82a5c019d7026f1788a779b29db195503bedcac30882036c-000
TRUE,2015-07-03T20:12:52,Payment to yourself,,,0,864e7a99dbb0724795419f43ad764adb8b483158916c6ccbb2f55b7ea44fc4ab-000
TRUE,2015-07-03T11:49:32,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.52899889,227e70429b853beccb5ebaa93588853bf6b73930191ef429591bdb83ac615e30-000
TRUE,2015-06-29T05:08:38,Payment to yourself,,,0,5b7cfa81f0a720dabeb32007f0c5acbe5c5b46f9923fa0410b0563d9aa30c0dc-000
TRUE,2015-06-28T22:59:13,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.52871389,c42b6c63767bb2d2e4cf50161de886a0328daae28e8d749aea75b281dce44864-000
TRUE,2015-06-26T12:10:24,Received with,,Xs6Eh1JoFfYxeQz5J4NnRBX4UsZ6Um1QaR,9.7,4f1e59aaaecbeefb8e7ebe45ca1fa048fe4f21cb93071c8977bf93973366707f-000
TRUE,2015-06-26T12:10:24,Received with,,Xs6Eh1JoFfYxeQz5J4NnRBX4UsZ6Um1QaR,19.7889286,5689dd4032443677c68f19de12dfb5fddf91d733d992cd73017635f23cc6d93c-000
TRUE,2015-06-26T02:28:24,,,,-0.200002,904e39c4b0e75a4767b4cb38cc6303b210351e38b1a4f34bb9826fca31f6a648-000
TRUE,2015-06-26T01:42:18,,,,-0.600006,84674212a8a0212ab1be793d979998214468fbc03182193315072b0b1dcdd889-000
TRUE,2015-06-26T01:41:27,Sent to,,XcGK7APW2d4wrHwvYseEA2YnjvyP6YaooZ,-0.04,df62a40b0765e8d3e4a5d16388ac70fd0294b64bc6d33a52eb8974522e1079e6-000
TRUE,2015-06-26T01:34:52,Sent to,,Xh3VkJwvKVxr5VG2oBKhXUJBCxnY85vyJ9,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-009
TRUE,2015-06-26T01:34:52,Sent to,,XoCRHa8bn95NJA5KktGQJBkAhW7etzEcnL,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-008
TRUE,2015-06-26T01:34:52,Sent to,,XypEBYHo69ePPA8zgiGyow89aPkMZD7o8r,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-007
TRUE,2015-06-26T01:34:52,Sent to,,XsjjcySnahGmGVBf8uYsGtoQpH5aQTUarV,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-006
TRUE,2015-06-26T01:34:52,Sent to,,XkXmJKJqKJXMHmp1Fi4bNk7ANLr9JdVQJe,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-005
TRUE,2015-06-26T01:34:52,Sent to,,XmW2wJek8Yzx7n6kK3DDMd4hkwQcocpdTc,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-004
TRUE,2015-06-26T01:34:52,Sent to,,Xg2377zc91HWRjSzuzixjsE9y7h9UXCiyQ,-16.95996176,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-003
TRUE,2015-06-26T01:34:52,Sent to,,Xds2VFQ8H5EJxrcFPkoHFvXCyextn9Qk8P,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-002
TRUE,2015-06-26T01:34:52,Sent to,,Xir4KpmE7q3ziR9yGTrTypNTuPXRZaSsk1,-0.100001,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-001
TRUE,2015-06-26T01:34:52,Sent to,,Xujqg7ToPPfJgKnYtT8PxgYdHWUe9KVQis,-0.100101,fc7bcc26fe5ef62a2be2b6fb88ca7f86724d718c70c07f5b5c04d535e4330c2a-000
TRUE,2015-06-26T01:33:45,Darksend Denominate,,,-0.100001,f5ac81501ffde4415a6e558fccc0ce9c37da4ee2204f01b5a24bd63df2f86f3a-000
TRUE,2015-06-26T01:18:05,Darksend Denominate,,,0,934c6bdfa9e5ec0fab1c5d4b370e03a10162d58320df5fda205847f86da38e94-000
TRUE,2015-06-26T00:55:33,Darksend Create Denominations,,,0,6ebb2796e95d3cf7d5cba8ab63316b3436c31c79e2fe3ab6d3ee1f81dd9cc47f-000
TRUE,2015-06-26T00:54:34,Darksend Denominate,,,0,c56c64bd7a6a944676afc4624a8c00022f0953b3fd24920117066a97d4a8ed2a-000
TRUE,2015-06-26T00:46:00,Darksend Denominate,,,0,85b661cbc780ca445030bf56c71441874b86f5a4ccee5db5cbd7ea22595031b6-000
TRUE,2015-06-26T00:32:21,Darksend Denominate,,,0,2d8687f4feb35e630ecfd17e37ac362352bb3e8e08caae363e7fc31dbf962689-000
TRUE,2015-06-26T00:25:03,Darksend Denominate,,,0,80d37b64e9b61446f203c00af239eb574f1fd09f4b874a31ca49d856924c2a21-000
TRUE,2015-06-26T00:19:50,Darksend Denominate,,,0,d90bbddef2db0e5bfb7023b6b334b43d3d3c3064913cc919926293e3c4cc31b1-000
TRUE,2015-06-26T00:14:23,Darksend Denominate,,,0,964c9524f2b29e6ec1a95d6cb5d8f9eef49967afc1f4c2a940c50951731fc03a-000
TRUE,2015-06-26T00:06:54,Darksend Denominate,,,0,ce8f93d9910db1c905a76f6611cefa22843762bb06d7c5b97ad6b4f5747751e3-000
TRUE,2015-06-26T00:03:54,Darksend Denominate,,,0,c16d4c335ede717d46dc0331edcc7f74c8bf732b397bb68db40482a2bf4166e0-000
TRUE,2015-06-25T23:58:46,Darksend Denominate,,,0,68cac29155f81c3d92d95eaf37f4f50eb4349870420763cb15552c23d43e8b38-000
TRUE,2015-06-25T23:58:46,Darksend Make Collateral Inputs,,,-0.0001,c5cd0e3f21958affb7fc525bc36e78e3af159209b04bcb1faeaa5e208d9152a4-000
TRUE,2015-06-25T23:55:53,Darksend Collateral Payment,,,-0.01,1167ca8360a28a0a9679b0fccdf4b2cb08286014e31ed3046f01a300467bd351-000
TRUE,2015-06-25T23:50:50,Darksend Denominate,,,0,8c8d590de7bd199dabec6bf2e356a8d8e9a7c74157dabaa3ecfb703d61e83cb4-000
TRUE,2015-06-25T23:47:31,Darksend Denominate,,,0,58b2aa1137678aff5a4e2b43d653e8f7024c5eff19fff9859f94ad5e24f7a7cd-000
TRUE,2015-06-25T23:45:54,Darksend Create Denominations,,,-0.0002,24877097ad7eaff2c85986bacc96a0096646e554bd7750c44d68c4059cac6b89-000
TRUE,2015-06-25T07:58:39,Darksend Denominate,,,0,55a4e3010289a588ba55b7f9bbc295df5e5530684c53bc86b4fcd88b67b8309a-000
TRUE,2015-06-25T05:42:24,Darksend Denominate,,,0,3383368dad6b8a6c25736bde3446cedc2035619e6a22ef59cbb2d16ec40829a3-000
TRUE,2015-06-25T05:33:06,Darksend Collateral Payment,,,-0.01,3df433124e5b6690301231c60429c24d6d1509228b064c132b83f41a364a1d12-000
TRUE,2015-06-25T05:33:06,Darksend Denominate,,,0,d40323e0a919f9ee2c1ecf8bb60dc3f6aebcb160b9c815d6c1eeea8989ff928e-000
TRUE,2015-06-24T19:26:53,Darksend Collateral Payment,,,-0.01,8c2085652c92cbd75c91def5f5878e2b0ae247e28b1ab9f54d767be1f05b1ac5-000
TRUE,2015-06-24T19:26:53,Darksend Denominate,,,0,622b5c33f6bf8281b6aee14849e08ba5f59af3753ba899b47ff71f6ed0e03a18-000
TRUE,2015-06-24T19:02:19,Payment to yourself,,,-0.00002,214bb651c933956902da3bdb0040e8f7bd3457c6f3b3d1807cfa6dd252195c3d-000
TRUE,2015-06-24T19:02:19,Darksend Create Denominations,,,-0.0001,f93aaf1802a4dad527d44932a7ecd01bc5c3f836ae629368297544e6000d0da9-000
TRUE,2015-06-24T18:39:17,Payment to yourself,,,-0.0004,5ea2c783677132908e64ed906d783d6d17b8c4b4bed6bbaed0b0349374491ec1-000
TRUE,2015-06-24T14:13:29,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.96973784,979b50c930b25026a52620121a98d4098690b57c3e6a51c32e3f6fce1505f904-000
TRUE,2015-06-24T05:16:04,Darksend Create Denominations,,,0,3d83280ecb0bda5d534c695af2edb669aaec1058fe9af8161689ffe8c6dee8d3-000
TRUE,2015-06-24T00:15:21,Darksend Denominate,,,0,a4d1ea169fca4ef5cd4790406ebea4f3c0191932c09b75bd641ce70dbdc67d6d-000
TRUE,2015-06-23T23:54:46,Darksend Denominate,,,0,c73dfba5abae4a8db060f9f54c733d07842c80476dba89f96091a185db5184d2-000
TRUE,2015-06-23T23:51:48,Darksend Denominate,,,0,8fa11d47b0e7069c0a8a9dba595eb99e2df08256fbcc8188833e9376c5410059-000
TRUE,2015-06-23T23:42:47,Darksend Denominate,,,0,0b9b5ecf96c26b8edfa59f8c07e14dc72eb0faaea7caaf46c200a5239609971b-000
TRUE,2015-06-23T23:35:19,Darksend Denominate,,,0,b323ac777e3f4013413dd2f1f79a9da95925ef1cbeb60e44f48bbb63249309b3-000
TRUE,2015-06-23T23:19:40,Darksend Denominate,,,0,ded5e847b727efc8d54ce096434be82547d3ceff7e89787d2c6694ac858e01f1-000
TRUE,2015-06-23T23:18:28,Darksend Collateral Payment,,,-0.01,97836f14fbb321f4433f2f02f65857266c87efa733570c1e705f0f3f09f81c47-000
TRUE,2015-06-23T23:09:40,Darksend Denominate,,,0,d300445fb6e43a297fbdc3209b3c2cd224c1d910c89e150055ba22b2160a15fe-000
TRUE,2015-06-23T23:07:40,Darksend Collateral Payment,,,-0.01,6241da5bb653cc72e4666009fd2127be9fde10f01181d45086e50e12f3567529-000
TRUE,2015-06-23T22:57:41,Darksend Denominate,,,0,3d4a40d28311d74a6d3e5403b2652b27cc099ea9f3c9db2597b80a45eaee5929-000
TRUE,2015-06-23T22:45:27,Darksend Denominate,,,0,b996470ec4b9e595eb42a81023b25a8789d3e12dd0fee61782ec38b3d5c2ee2c-000
TRUE,2015-06-23T22:36:47,Darksend Denominate,,,0,99d692a50a372f324f1f9971e71a0cf099946983ea87c9111aba24d8d58a110f-000
TRUE,2015-06-23T22:33:52,Darksend Create Denominations,,,-0.0001,ec090ccb02c7808eebf1bc330969e725c4313ec8db7d9666c9bc9134aa021196-000
TRUE,2015-06-23T22:08:51,Darksend Denominate,,,0,83c7ee9e7365ff0884dad1d89d1d3d031c91d3da7a4954442736fa3aab234d94-000
TRUE,2015-06-23T21:57:32,Darksend Denominate,,,0,c6b820d3938d85183eb41ca2fbb179c867cb2a6cfe549ab300fb8bdf082c33a9-000
TRUE,2015-06-23T21:44:19,Darksend Denominate,,,0,ec7887d87b0910159948e81655c1ac46000d86adf70a05264bb4b2a7dde63be2-000
TRUE,2015-06-23T21:42:14,Darksend Denominate,,,0,1154e98ab6a5fe9b5544aca19ed9b1f4e700f7375ecf1208ea7dc38b0e9cfc44-000
TRUE,2015-06-23T21:38:04,Darksend Create Denominations,,,0,65b173200cbfc68a024f481473a667c518d944fde96e9daad7ea3af5ff6da1eb-000
TRUE,2015-06-23T21:36:38,Payment to yourself,,,-0.0001,79036936c1ee216e903f9afbf363301e12c6c674a2f0b7d6c0644d04ce6200d7-000
TRUE,2015-06-23T21:26:31,Received with,,XjPEiw4pFHMFRLH2PCnsEBu8JKW8ttSj6h,6.996,0516a4f576ddbd6101a3ee0ba9f6baa744517789692f4b8b84a8cb8e81e1f7d1-000
TRUE,2015-06-22T18:38:44,Sent to,,XmoocowYfrPKUR6p6M5aJZdVntQe71irCX,-0.5,a4b99b39d110506f02cb6b89338470706b119642de37ec4c2be598e37866df89-000
TRUE,2015-06-17T18:33:43,Payment to yourself,,,0,9dba880c2e36f8c673b080268f4523323bd1af2e825f4fd1c131dc6109df9643-000
TRUE,2015-06-17T18:33:43,Payment to yourself,,,0,ef40f0955b9fb220536274379273a17794f10d1bb8c9ae39aaeb1b977222cab8-000
TRUE,2015-06-17T08:47:07,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.0875,0741695801e23d54e352e274d69e474ab3bca92d73fb2847034ae12af8012a20-000
TRUE,2015-06-16T19:58:18,Received with,,Xs6Eh1JoFfYxeQz5J4NnRBX4UsZ6Um1QaR,2.79,4f69fd860a15a7090c57abc2d7a0655949f0f45c7b6e9fbe7c39ec14bace72aa-000
TRUE,2015-06-12T21:24:26,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.0875,5dcbabe5b64b85c6685e8af0489cefc7cfb455475f863e17cd55436da7c5a3f2-000
TRUE,2015-06-11T12:47:52,Payment to yourself,,,0,ee465f47179f4a3bd733e2601e77dd6012d41871b925639e3c4f6f1cafca3a8f-000
TRUE,2015-06-08T09:09:16,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,2.20535708,0e45e141468b085f63b115404ac882aa13850758667d8151da5e2c9b05bd58e4-000
TRUE,2015-06-03T21:05:32,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,2.64647602,982dd67c508658d92bb5c20479aed1bb1db5d64f773c68d31931155c924ea3d2-000
TRUE,2015-05-30T06:06:30,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,2.92509,b755c21ce95a0ee070b986dc665824583d2fc5a0c03a1492b96a99d86a689624-000
TRUE,2015-05-25T14:25:52,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,2.08928566,1541a530430f33c6e8692f76d861c04d245a79d5d7dfc99c85513202cb9aa386-000
TRUE,2015-05-20T21:56:02,Received with,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,1000,32f01fb52b8e778fff02d5c6fd74a0c8fcecfc596418cc422ff0d0e36cb82ee0-001
TRUE,2015-05-20T21:56:02,Received with,,XfeEQER4ZndjBRViaaahp6wMM9p6tY8vx3,0.02615351,32f01fb52b8e778fff02d5c6fd74a0c8fcecfc596418cc422ff0d0e36cb82ee0-000
TRUE,2015-05-16T16:33:51,Received with,,XrKjQ2ucTs4HgSKg6DxgmGe5euMHr7h8rz,6.176,eb07d5c1846455e0f49643ac67e4e4f3845a016dfcc9bfc6b8403838f7ce3929-000
TRUE,2015-05-16T15:18:34,Received with,,XtDtc8UBjRcGHFdpjHYy1QopGNDGwNiXzw,9.796,20fdf6d981ad6333017b759f8ebeb27efb38a07454cbe701c44f9972de08a114-000
TRUE,2015-05-16T11:21:03,Received with,,XyuDbcKdAajovPQSb68HETch4Nis7o65w5,5.382,62c495aa38bd779bdd3f69c065924f27c7baa5b585caf4906b3b42f1b2efad52-000
TRUE,2015-05-16T09:44:39,Received with,,XbfxHkEFNhdxRNzexQtEw22ARFkwwpyrLE,205.004,60102965b521538769ec4fcf472a3f59e515d3b9b7fbb87403b49e638c976726-000
TRUE,2015-05-16T08:17:19,Received with,,Xe1HBKCQxqueU3uwJ8kFToGQoFnNwMPA9J,9.996,ba7050ac8d333469dee2d12c1a6db9476c55b319167cff8137c22bd2bf58ac9e-000
TRUE,2015-05-15T14:11:19,Sent to,,XjnC7A3cYw8ZCfkg9RH9zoArNH1xCVtANZ,-0.1,c165f895797727b62a77767a6bff96e70de0753d67ee79b6785403dc41add2ec-000
TRUE,2015-05-15T12:13:04,Received with,,Xeb4vrf99iia8HRjice1CNCo2FeqYEXyyC,214,71400f559b970c198809f602cfb31793a19f8382859de873442b6d9a648462d0-000
TRUE,2015-05-02T13:51:42,Sent to,,XjcesSomsTp2NY3rkX4cSc8mfWNHwa6UPz,-53.43805859,fd68ff71ac8fdd330b5620bacbf0c6741d1d3fd39a7cf440ba366e4567189abf-000
TRUE,2015-04-27T19:10:47,Received with,,XgTVbJHFEVR6pca3pEbVaMYXbnGMm9NUYW,6.87211718,707c791644a2080cc3aa4dc3e75bdccf8a5d3770bdabbbb139c7f35b5e43e05c-000
TRUE,2015-04-27T19:02:26,Received with,,Xjsg7yav5LQtwTvaARVMNr7KwdsjN9K72v,3.43005859,46e7f0a2b0984872912540d91f7bbd013f5b8aabd3fac68a1dbd247a642a40a8-000
TRUE,2015-04-27T19:02:26,Received with,,Xjsg7yav5LQtwTvaARVMNr7KwdsjN9K72v,6.86011719,498f8d922b136d0ed70b17f5d882ca0c1f32c18ce74a7f9d27498759a7b032e2-000
TRUE,2015-04-17T06:53:12,Received with,,XnkTWQZGvVzWiWGiH273BFpoNEBr2xQfqa,9.956,53bb79128c59636e2a69fdd0ac152c2fcf4e54c5a1fb36c9109f30952ad618f6-000
TRUE,2015-04-17T06:36:21,Received with,,XnkTWQZGvVzWiWGiH273BFpoNEBr2xQfqa,9.746,6f26834e458badfc6f629dce0ba27fda1e5436ceeb6e8d54f9540cbc8a6b3e3b-000
TRUE,2015-04-13T22:28:07,Received with,,Xv7sMWi663ZqryqWNoFJ9wdHarpSqsWMjF,14.662666,f1ff8e39cb79c17ea8684bef91c863368abbe0af51360403c79be6cc6628a5dc-000
TRUE,2015-04-11T06:57:05,Darksend Make Collateral Inputs,,,0,e19b05d0dec5a8aa914f97e92e2458df86d23fade8ed78e4793fde784b14dab0-000
TRUE,2015-03-15T19:41:20,Sent to,,XsKRW3LUHn4g6wUNywp3uLgZ8hD4jXv7sq,-15,8b33401eee7c120a997cd8f6bbbafe750947e13b6b9e37b784da75817e2e7567-000
TRUE,2015-03-09T18:53:47,Received with,pricedrop,Xpim1yEHnHfqe9oRYu6T2J9qBaAn3CMmZS,91.36337203,934c07e99ee56714480a3524aa958fdcdb26262f341a180aade8d7f620540946-000
TRUE,2015-03-06T17:50:16,Sent to,Claire's First Dark Coins - KEEP SAFE!,XqCBwGg61mZTvobPJnMd9uZbra7fVjEJdB,-1.01,63890ba1745793b97cc98bcfeb2c7342ddf83da7c899daf49c58c1ab8b0f6192-000
TRUE,2015-03-05T21:23:45,Received with,darkcoins,XscvbtX6wswbbzWe3uXPoRoVHCqEbpkWuf,24.75262732,28d66e8dbe64e81cc28025c69931db8a735b70068f7066231bc46e5197f31139-000
TRUE,2015-03-03T00:49:23,Received with,pinkman,Xk5oGUacRjV5D7QzQMhFqW3TaxC1SuP2XZ,154.3843986,2c89c2ec106b732ac86fda1ae1617d190ff1fd05007cac5f1324db18911e9b55-000
TRUE,2015-03-02T08:31:57,Received with,Moudaber,XbQWiD3jAoony2k5TbhNn6PZ8YsbJFqBjG,94.82047328,65d0966786b5954aba27212e17ea06e06d2f1033fe8848f3509d05dd14a6197f-000
TRUE,2015-02-27T18:43:30,Received with,doodholeydarkcoins,XjZvE2a6zDM7htGjx9TMrz2Ed9NSopwEMa,102.657124,bd91dcd768c91866def9411088d0d5eceb31502f3b5300f2ee684f0585c96039-000
TRUE,2015-02-25T08:51:49,Received with,,Xu9eU66C5UUBAwfUyWffBu8jeGBkJC3ngm,63.81092223,e3e0d47a00b39abec1c864f6cdf5fa2f56355828872d8532233cdfdc8e967341-000
TRUE,2015-02-22T10:22:28,Sent to,,Xvtxqi42PvaxfdpeF9yDbqczA6aF3n8eyR,-398.01,c930e1359df1ab1b48ec20cc66da5b45235138af0edc8e0edd9dd1d425710a29-000
TRUE,2015-02-21T09:26:40,Received with,givemethosedarkcoins,XiuZhouoo5v1RBHPm8rDzcP6dJsN5vLqvt,164.2531984,25502cc7d9eb5e5c29163c081bbd2b9d54d1e460233ea9bd5de4d2a01df5a91d-000
TRUE,2015-02-21T09:03:04,Received with,,XqebTLoVKUDr9sn7fpUCMqUFGq7LHDsims,82.12509917,42508aa9256d3422df5b585bce19db6ecd56560c6edb96b2799e651c7ef7ba68-000
TRUE,2015-02-20T19:57:36,Darksend Denominate,,,0,4ee17d702b3b2eb47f11307f4456db094777e798b5506e5357bc0cc203e5618c-000
TRUE,2015-02-20T19:59:20,Sent to,,Xxa49xpxFN91CtCVGdrmZQPP3zyBRRZxqM,-50.01,2f2f523f9215dd2a4f4c095b0fc91bc5d7a9d1cd778363bc0c369cc107d3e1b6-000
TRUE,2015-02-20T07:20:18,Darksend Create Denominations,,,0,de6471def80987b4f7e09e4f08a9b266349d0d3d0527c84bc6aee88cd42d8124-000
TRUE,2015-02-19T11:45:01,Received with,iwannashapeshifttoday,XewyBBaowMgtvdSJyCkWfPfguFA3B8F99s,82.0893913,29d37cff86e6a49e418eb0741116a815301ab99d2bc8d3ef5bb97be448dfe0e5-000
TRUE,2015-02-19T06:55:40,Received with,Shapeshiftallday,XtoHGBAUy1fXo4N9uzbgxWitzYqscbtXx4,3.54288782,bee37c1581203a155ca3983824bb4cb9f35d6eefedbc0eb8cad5894b3f1632cf-000
TRUE,2015-02-18T15:14:53,Received with,Shapeshiftallday,XtoHGBAUy1fXo4N9uzbgxWitzYqscbtXx4,82.12509917,16340ebf555c89117ac7e6c8ef6a79741fdb151fdd96e9c10aad87cc4c96a091-000
TRUE,2015-02-18T15:05:44,Received with,,XqGZUR88qrHUTvRr3YmNK8oivtSihrjNUF,27.32740253,f46fd08b6d152011a8a0f2dab968ac45d6006c1e91ffe87c55f7591860363373-000
TRUE,2015-02-18T15:01:48,Received with,,Xi7k1kQpRMEzGM789jUZFTdVqvBTM7vbdi,7.01677248,494286207a70a01158c6b8577f7a17d68c861710ece4afd0ed3d6a669f50e923-000
TRUE,2015-02-16T19:49:35,Received with,Shifting 3,XwC4PMmAPNPGcwHXnv9NurDQaUbNxYEnwa,35.67233141,7ad54da430f3c6faa6e5e502d3b94196fb81c84a4c9cee2b7e2d95aafd488702-000
TRUE,2015-02-16T07:08:50,Sent to,,XkqzyNSouhREtG6C2AxtqHbQhXqDWrxzCc,-55.83316151,458592df86bbff888e44b6c440b800173ded1451a23b07f8e87c90763fbf6408-000
TRUE,2015-02-12T06:58:09,Received with,Shifting 2,XmdzBDHy7UXyaMzCzDqor7FcGunTBspFiQ,55.43067347,d40e12baa4f7d27ed0c6631df36f06b0df341995a45d9d7a34f5441d25de631c-000
TRUE,2015-02-11T08:56:54,Sent to,,XmcN3v6mZHH3mWxQZSWpMagFoTAFgQ1P3u,-63,a85bf58ac8a3071657cc2040b0742f826d61342672fb4d3ee20709a1f73fe5f6-000
TRUE,2015-02-11T08:35:33,Received with,Claptrap,XgLeoWErwGLAXeoUhRu3sZz9etax8H1tyb,52.73978743,303f4f9f36b1ddf209996e14f7dffd5c9843fda846ab7a8e84e74e8e1d0c2de8-000
TRUE,2015-02-04T12:29:17,Received with,Claptrap,XgLeoWErwGLAXeoUhRu3sZz9etax8H1tyb,10.66270061,67d53eecd9c426f136be8db4829fa6d8e75fa96f01c69c6d90c2bc4d7b204f36-000